n,doubling.ticks
292,1314
293,1315
294,1316
295,1317
296,1318
297,1319
298,1320
299,1321
300,1322
301,1323
302,1324
303,1325
304,1326
305,1327
306,1328
307,1329
308,1330
309,1331
310,1332
311,1333
312,1334
313,1335
314,1336
315,1337
316,1338
317,1339
318,1340
319,1341
320,1342
321,1343
322,1344
323,1345
324,1346
325,1347
326,1348
327,1349
328,1350
329,1351
330,1352
331,1353
332,1354
333,1355
334,1356
335,1357
336,1358
337,1359
338,1360
339,1361
340,1362
341,1363
342,1364
343,1365
344,1366
345,1367
346,1368
347,1369
348,1370
349,1371
350,1372
351,1373
352,1374
353,1375
354,1376
355,1377
356,1378
357,1379
358,1380
359,1381
360,1382
361,1383
362,1384
363,1385
364,1386
365,1387
366,1388
367,1389
368,1390
369,1391
370,1392
371,1393
372,1394
373,1395
374,1396
375,1397
376,1398
377,1399
378,1400
379,1401
380,1402
381,1403
382,1404
383,1405
384,1406
385,1407
386,1408
387,1409
388,1410
389,1411
390,1412
391,1413
392,1414
393,1415
394,1416
395,1417
396,1418
397,1419
398,1420
399,1421
400,1422
401,1423
402,1424
403,1425
404,1426
405,1427
406,1428
407,1429
408,1430
409,1431
410,1432
411,1433
412,1434
413,1435
414,1436
415,1437
416,1438
417,1439
418,1440
419,1441
420,1442
421,1443
422,1444
423,1445
424,1446
425,1447
426,1448
427,1449
428,1450
429,1451
430,1452
431,1453
432,1454
433,1455
434,1456
435,1457
436,1458
437,1459
438,1460
439,1461
440,1462
441,1463
442,1464
443,1465
444,1466
445,1467
446,1468
447,1469
448,1470
449,1471
450,1472
451,1473
452,1474
453,1475
454,1476
455,1477
456,1478
457,1479
458,1480
459,1481
460,1482
461,1483
462,1484
463,1485
464,1486
465,1487
466,1488
467,1489
468,1490
469,1491
470,1492
471,1493
472,1494
473,1495
474,1496
475,1497
476,1498
477,1499
478,1500
479,1501
480,1502
481,1503
482,1504
483,1505
484,1506
485,1507
486,1508
487,1509
488,1510
489,1511
490,1512
491,1513
492,1514
493,1515
494,1516
495,1517
496,1518
497,1519
498,1520
499,1521
500,1522
501,1523
502,1524
503,1525
504,1526
505,1527
506,1528
507,1529
508,1530
509,1531
510,1532
511,1533
512,1534
513,2559
514,2560
515,2561
516,2562
517,2563
518,2564
519,2565
520,2566
521,2567
522,2568
523,2569
524,2570
525,2571
526,2572
527,2573
528,2574
529,2575
530,2576
531,2577
532,2578
533,2579
534,2580
535,2581
536,2582
537,2583
538,2584
539,2585
540,2586
541,2587
542,2588
543,2589
544,2590
545,2591
546,2592
547,2593
548,2594
549,2595
550,2596
551,2597
552,2598
553,2599
554,2600
555,2601
556,2602
557,2603
558,2604
559,2605
560,2606
561,2607
562,2608
563,2609
564,2610
565,2611
566,2612
567,2613
568,2614
569,2615
570,2616
571,2617
572,2618
573,2619
574,2620
575,2621
576,2622
577,2623
578,2624
579,2625
580,2626
581,2627
582,2628
583,2629
584,2630
585,2631
586,2632
587,2633
588,2634
589,2635
590,2636
591,2637
592,2638
593,2639
594,2640
595,2641
596,2642
597,2643
598,2644
599,2645
600,2646
601,2647
602,2648
603,2649
604,2650
605,2651
606,2652
607,2653
608,2654
609,2655
610,2656
611,2657
612,2658
613,2659
614,2660
615,2661
616,2662
617,2663
618,2664
619,2665
